id,duration,distance,calories,heart_rate,avg_altitude,max_altitude,ascent,descent,number_of_hills,distance_between_hills,number_of_intervals,average_interval_duration,longest_interval,activity_type
1,3240.0,8869.41,374,117.73749568816834,418.31031380870826,,245.80001831054688,208.20001220703125,1,8868.782051240714,5,274.8,970.0,Biking
10,6862.0,43613.96,853,135.11498470948013,168.59816416702503,,28.0,25.599990844726562,0,43613.96,10,485.3,3234.0,Biking
11,5909.0,45250.49,936,148.6135873472322,218.98519052249077,,529.7999267578125,534.3999176025391,4,45240.17578138755,9,483.44444444444446,1588.0,Biking
12,3100.0,22387.71,496,150.22721437740694,159.98434062365237,,12.399993896484375,6.1999969482421875,0,22387.71,6,275.8333333333333,326.0,Biking
13,3793.0,29527.18,437,124.14781746031746,237.22380895463246,,59.00001525878906,57.60002136230469,0,29527.18,2,1791.5,3436.0,Biking
14,77504.0,79318.28,1552,173.6692542931075,391.66290243001185,,798.4000854492188,848.4000854492188,23,79283.2675305983,18,286.0,1030.0,Biking
16,9775.0,56607.44,1172,151.30135440180587,200.5434914467656,,444.80015563964844,450.400146484375,5,56587.859523885054,9,396.3333333333333,1315.0,Biking
17,3937.0,41368.63,794,167.77169274537695,152.70384083906583,,167.7999725341797,161.99996948242188,0,41368.63,3,733.6666666666666,1787.0,Biking
18,10888.0,57301.78,958,137.42294520547946,217.92130201156826,,389.6000061035156,393.0,3,57263.55875724818,11,247.36363636363637,825.0,Biking
19,8136.0,64731.6,1110,140.17602166420482,239.55873945979047,,852.3997802734375,852.5997772216797,6,64709.23101266151,9,517.0,1419.0,Biking
2,3876.0,24732.34,924,167.4795994065282,35.109124683484836,,452.5999946594238,414.9999942779541,3,24731.011841579915,4,829.75,2191.0,Biking
20,7101.0,55180.99,1227,153.46182728410514,192.91455992251872,,432.4001159667969,432.60011291503906,2,55176.96385014729,4,1434.5,2930.0,Biking
22,4792.0,517.01,743,138.38560411311053,157.54858610256164,,2.0,0.1999969482421875,0,517.01,3,1116.6666666666667,1533.0,Biking
23,9513.0,68556.67,1306,151.25182892515477,220.2418130328297,,544.7999725341797,555.9999694824219,4,68533.39319596672,8,568.875,1737.0,Biking
24,15545.0,121033.93,1922,144.6782078906308,297.6722487683406,,509.5999450683594,529.7999420166016,3,121018.88139276182,11,746.0,1829.0,Biking
25,12081.0,101845.96,1484,142.5049318123338,214.69476552215056,,632.6000671386719,635.8000640869141,5,101833.25387186497,9,767.5555555555555,4148.0,Biking
27,9031.0,77818.19,1199,139.50395123052607,234.5473457916942,,343.39988708496094,340.19989013671875,3,77813.48597638107,7,992.0,2265.0,Biking
28,11211.0,95178.28,1519,138.97595709265767,81.73534302225511,,854.7999904155731,870.1999903917313,7,95169.09828408153,14,574.3571428571429,2422.0,Biking
29,6668.0,41072.45,747,137.64447463768116,202.4432967780293,,349.00001525878906,342.8000030517578,2,41064.619428125014,9,397.44444444444446,1116.0,Biking
30,5750.0,50273.24,773,137.7115127175368,175.86452374847698,,62.59999084472656,58.79998779296875,0,50273.24,4,1101.5,2584.0,Biking
31,8233.0,54492.96,900,132.1274455002795,260.72968123784074,,927.3999328613281,877.9999237060547,6,54459.27679365052,10,478.4,1412.0,Biking
32,12000.0,96585.82,1436,135.03804894401608,245.65534698583517,,771.1999206542969,830.9999237060547,8,96469.8130406016,8,1247.375,4540.0,Biking
33,33807.0,65572.95,1168,135.70885005636978,225.74937986440563,,498.5999755859375,539.3999786376953,5,65543.50805960466,9,561.3333333333334,1467.0,Biking
34,7302.0,59802.7,1144,156.7869017632242,189.10690190005363,,267.800048828125,264.2000427246094,0,59802.7,6,559.8333333333334,1384.0,Biking
36,4625.0,21565.73,387,134.30537974683546,399.16657964972,,89.39999389648438,68.60000610351562,0,21565.73,2,691.5,1030.0,Biking
37,16449.0,110785.28,1873,143.32034037880868,213.506011573358,,729.0003204345703,727.4003143310547,0,110785.28,4,3121.0,11398.0,Biking
38,1202.0,1794.99,198,146.44764795144158,405.4691954454992,,159.19998168945312,144.99996948242188,1,1793.0365124669033,2,323.0,640.0,Biking
39,4044.0,14543.41,347,182.4281805745554,108.3160054615193,,116.60005950927734,128.60005950927734,0,14543.41,3,1144.6666666666667,3334.0,Biking
40,6414.0,49925.43,766,131.0526645768025,207.63796140616964,,80.80000305175781,81.60000610351562,0,49925.43,3,1974.6666666666667,3700.0,Biking
42,12833.0,96058.42,1940,163.2816884373488,300.86267528893814,,1957.4000549316406,1955.0000610351562,30,95970.3185678595,18,430.8888888888889,1223.0,Biking
43,178173.0,168759.87,2939,146.68,419.18752897246895,,1553.4001159667969,1582.600112915039,7,168560.13696320925,16,492.9375,3150.0,Biking
44,4361.0,31872.069999999996,654,143.08230088495574,52.73734520431113,,64.60000228881836,70.00000381469727,0,31872.069999999996,6,208.0,242.0,Biking
45,7666.0,55820.33,985,146.58924010217115,208.99310326363087,,120.19996643066406,123.79997253417969,0,55820.33,5,902.8,3006.0,Biking
46,1211.0,14887.88,298,177.98048780487804,229.97316998737614,,4.5999908447265625,0,0,14887.88,2,556.0,1032.0,Biking
48,3876.0,1651.84,591,139.8479594558549,139.09964715769908,,0,2.8000030517578125,0,1651.84,4,851.0,1090.0,Biking
5,6923.0,39319.89,703,116.68329258353708,427.41059527035736,,866.2001342773438,864.2001342773438,3,39318.749022145676,13,302.53846153846155,1493.0,Biking
6,15371.0,18280.090000000004,1501,116.6481698490384,908.5190322780261,,1565.2002563476562,1576.4002075195312,10,18269.5657392813,7,919.8571428571429,1406.0,Other
7,9902.0,12188.91,1221,137.12920454545454,1240.190158920288,,963.8002319335938,960.8002319335938,4,12182.325139893783,4,1445.75,4852.0,Other
8,13685.0,72740.51,2104,132.6229230769231,706.4207925177847,,2107.0005493164062,2089.4005126953125,17,72664.51178261588,16,542.3125,2061.0,Biking
